dag,type,category,boot_m,boot_med,boot_sd,boot_lower_ci,boot_upper_ci
BID,Adjusted,small,0,0,0,0,0
BID,Adjusted,medium,0.44244809579469363,0.4422448404036162,0.004018398610185984,0.4352087409485985,0.448972426205804
BID,Adjusted,large,0.6085123239782927,0.6095110106005266,0.012843347917026881,0.5863139083874211,0.6316909770663002
BID,Unadjusted,small,0,0,0,0,0
BID,Unadjusted,medium,0.6290812174275786,0.6288692865691963,0.003538223662427029,0.6229357092726191,0.6348206752917847
BID,Unadjusted,large,1.6601719694881436,1.6603105063477392,0.0034237528982554795,1.65429677683878,1.667686123912301
WID,Adjusted,small,0,0,0,0,0
WID,Adjusted,medium,0.3420446863543011,0.3417363977946259,0.004151248060523347,0.3348231985840675,0.35015621014095577
WID,Adjusted,large,0.21241205475926306,0.2115311813998484,0.006741125484986156,0.20135459647716641,0.22464938765536208
WID,Unadjusted,small,0,0,0,0,0
WID,Unadjusted,medium,0.37592552739045876,0.3760910271059105,0.003191732927196442,0.36900299523844726,0.3814669131051198
WID,Unadjusted,large,1.4144434693356507,1.4142674254622212,0.0029049720010054037,1.4093328944085508,1.4207359613344608
