country,age_category,boot_m,boot_med,boot_sd,boot_lower_ci,boot_upper_ci
BR,15,37.70143325092707,37.70100573098101,0.09636531622946558,37.51982245196089,37.88722749747163
BR,20,39.62361056269417,39.62408316329344,0.05601909913206761,39.510496056912814,39.73093714957996
BR,25,40.432930231878125,40.432359133308,0.051622677897645596,40.33470825170326,40.5309844586099
BR,30,40.533044826892784,40.531948587324464,0.057010641140183185,40.421792154036936,40.64820943794617
BR,35,39.949719237665185,39.94921088164331,0.06741265463204575,39.81270225999956,40.07661420634393
BR,40,39.75009732589083,39.74964301940676,0.08239735982604957,39.58489160771078,39.912734471344194
BR,45,39.64473827685382,39.64274102788546,0.11556981536685822,39.419215018131794,39.8741543703889
BR,50,39.208785804091896,39.20922391130415,0.15501096060418754,38.91063264373071,39.49721682477997
BR,55,38.529162011173185,38.529229848363926,0.21034640362720194,38.114714684756585,38.945919792498
BR,60,38.60961928512053,38.61118038237739,0.30849766544438173,38.00349127182045,39.19369285120531
DE,15,38.621939526669024,38.624055104203464,0.09353917373960043,38.43513069586718,38.82047333097845
DE,20,40.82987650820861,40.831410298674754,0.09537672440489446,40.64950056042724,41.00951242829828
DE,25,41.40527005469462,41.40739896687937,0.10883019945113322,41.18479185657855,41.61365846247341
DE,30,41.05708550096339,41.05675979447656,0.1136627744876574,40.83467605973025,41.27514651573538
DE,35,40.5829721398933,40.58274056510571,0.12909619103860173,40.332836889942705,40.82378482513337
DE,40,39.860108054577466,39.85755941901408,0.14466331377848762,39.576997139084504,40.146137764084514
DE,45,39.5444225923244,39.53968139029689,0.1627228964769386,39.2172773352643,39.86730992034757
DE,50,39.695653791637135,39.69206236711552,0.1881854998621952,39.32541637136782,40.06072820694543
DE,55,39.57122469879518,39.56490963855421,0.24388369725242165,39.09359186746988,40.05682228915663
DE,60,39.118565452091765,39.11707152496626,0.3765531995502159,38.36383265856949,39.8558367071525
FR,15,35.693164440440036,35.69323122093829,0.0296295628094934,35.63463793364165,35.750423718134506
FR,20,39.454147607494,39.45326609318709,0.0314860366076217,39.38800806079686,39.51519954816761
FR,25,42.30142383032268,42.30267026412264,0.03873523949766851,42.223875391707296,42.379492988590584
FR,30,42.91172144445193,42.91245031327899,0.03845783353474741,42.83654685710436,42.986216735161356
FR,35,42.247448969578016,42.24761155688968,0.040571887545523,42.169592449344805,42.325776063614846
FR,40,41.44268141302174,41.44408336428306,0.039791681235860174,41.364305916635715,41.52194704739593
FR,45,41.14797282874939,41.147806004618936,0.04390157030380797,41.06465812863041,41.23779961858772
FR,50,41.134304511557616,41.13270817332706,0.05512195287150556,41.032041101999354,41.23824046775512
FR,55,40.63444110735101,40.634682271103586,0.07729904967926435,40.48632966723068,40.78893941530363
FR,60,39.52614635373009,39.525356244761106,0.11513469262969042,39.297984073763615,39.7578897736798
